SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
JURONG EAST MRT STATION (EW24 / NS1),10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690,609690,17869.0570516568,35038.9688695427,1.33315281585758,103.742286332403
CHINESE GARDEN MRT STATION (EW25),151,BOON LAY WAY,CHINESE GARDEN MRT STATION (EW25),151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959,609959,16790.7466322081,36056.3018932827,1.34235282081401,103.732596738363
LAKESIDE MRT STATION (EW26),201,BOON LAY WAY,LAKESIDE MRT STATION (EW26),201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845,649845,15494.4969534362,36267.1470333859,1.34425911493819,103.720949087456
BOON LAY MRT STATION (EW27),301,BOON LAY WAY,BOON LAY MRT STATION (EW27),301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846,649846,13837.9827195406,35641.9191215802,1.33860405469845,103.706064622772
PIONEER MRT STATION (EW28),31,JURONG WEST STREET 63,PIONEER MRT STATION (EW28),31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310,648310,12864.9698331021,35529.5115483906,1.33758701106708,103.697321608474
JOO KOON MRT STATION (EW29),91,JOO KOON CIRCLE,JOO KOON MRT STATION (EW29),91 JOO KOON CIRCLE JOO KOON MRT STATION (EW29) SINGAPORE 629116,629116,10756.3379743481,34438.2617777772,1.3277170408447,103.678374996165
GUL CIRCLE MRT STATION (EW30),7A,TUAS ROAD,GUL CIRCLE MRT STATION (EW30),7A TUAS ROAD GUL CIRCLE MRT STATION (EW30) SINGAPORE 637288,637288,8770.35150132887,33526.5733700171,1.31947090075208,103.660530461345
TUAS CRESCENT MRT STATION (EW31),90,PIONEER ROAD,TUAS CRESCENT MRT STATION (EW31),90 PIONEER ROAD TUAS CRESCENT MRT STATION (EW31) SINGAPORE 639608,639608,7495.83786702435,33698.7263109088,1.32102695598684,103.649078235627
TUAS WEST ROAD MRT STATION (EW32),131,PIONEER ROAD,TUAS WEST ROAD MRT STATION (EW32),131 PIONEER ROAD TUAS WEST ROAD MRT STATION (EW32) SINGAPORE 639609,639609,6442.92861192208,34689.3517738562,1.32998504653102,103.639616648771
TUAS LINK MRT STATION (EW33),20,TUAS WEST DRIVE,TUAS LINK MRT STATION (EW33),20 TUAS WEST DRIVE TUAS LINK MRT STATION (EW33) SINGAPORE 638418,638418,6150.86278806347,35894.3582222275,1.34088242451105,103.636991425128
EXPO MRT STATION (CG1),21,CHANGI SOUTH AVENUE 1,EXPO MRT STATION (CG1),21 CHANGI SOUTH AVENUE 1 EXPO MRT STATION (CG1) SINGAPORE 486065,486065,42270.6232344816,35193.6223453786,1.33454977824817,103.961548211018
CHANGI AIRPORT MRT STATION (CG2),70,AIRPORT BOULEVARD,CHANGI AIRPORT MRT STATION (CG2),70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION (CG2) SINGAPORE 819661,819661,45201.320394692,37729.1933764666,1.35747897447692,103.98788356959
HARBOURFRONT MRT STATION (NE1 / CC29),81,TELOK BLANGAH ROAD,HARBOURFRONT MRT STATION (NE1 / CC29),81 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION (NE1 / CC29) SINGAPORE 098867,098867,26688.0367021402,27545.8534260485,1.26538938374901,103.821530157095
OUTRAM PARK MRT STATION (NE3),300,EU TONG SEN STREET,OUTRAM PARK MRT STATION (NE3),300 EU TONG SEN STREET OUTRAM PARK MRT STATION (NE3) SINGAPORE 059816,059816,28681.2492930563,29130.5222722683,1.27972059383553,103.839439862425
CHINATOWN MRT STATION (NE4),151,NEW BRIDGE ROAD,CHINATOWN MRT STATION (NE4),151 NEW BRIDGE ROAD CHINATOWN MRT STATION (NE4) SINGAPORE 059443,059443,29124.9480295833,29643.4802091382,1.28435959278583,103.843426681863
CLARKE QUAY MRT STATION (NE5),10,EU TONG SEN STREET,CLARKE QUAY MRT STATION (NE5),10 EU TONG SEN STREET CLARKE QUAY MRT STATION (NE5) SINGAPORE 059815,059815,29473.1249443376,30088.7037861496,1.28838602407588,103.846555209694
DHOBY GHAUT MRT STATION (NE6),60,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NE6),60 ORCHARD ROAD DHOBY GHAUT MRT STATION (NE6) SINGAPORE 238889,238889,29354.4079191377,31340.2508916464,1.29970458121203,103.845488542541
LITTLE INDIA MRT STATION (NE7),60,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (NE7),60 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION (NE7) SINGAPORE 229900,229900,29817.2085683132,32124.850180177,1.30680019696174,103.849647059738
FARRER PARK MRT STATION (NE8),250,RACE COURSE ROAD,FARRER PARK MRT STATION (NE8),250 RACE COURSE ROAD FARRER PARK MRT STATION (NE8) SINGAPORE 218703,218703,30243.5206485614,32689.3795552086,1.31190557325774,103.853477716509
BOON KENG MRT STATION (NE9),900,SERANGOON ROAD,BOON KENG MRT STATION (NE9),900 SERANGOON ROAD BOON KENG MRT STATION (NE9) SINGAPORE 328260,328260,31144.045013207,33510.9746132698,1.31933570922514,103.861569454156
POTONG PASIR MRT STATION (NE10),55,UPPER SERANGOON ROAD,POTONG PASIR MRT STATION (NE10),55 UPPER SERANGOON ROAD POTONG PASIR MRT STATION (NE10) SINGAPORE 347694,347694,31977.1667550961,34842.7250955887,1.33137949021368,103.869055656782
WOODLEIGH MRT STATION (NE11),400,UPPER SERANGOON ROAD,WOODLEIGH MRT STATION (NE11),400 UPPER SERANGOON ROAD WOODLEIGH MRT STATION (NE11) SINGAPORE 347695,347695,32173.3185749156,35706.3793633711,1.33919004519388,103.87081830915
SERANGOON MRT STATION (NE12),600,UPPER SERANGOON ROAD,SERANGOON MRT STATION (NE12),600 UPPER SERANGOON ROAD SERANGOON MRT STATION (NE12) SINGAPORE 534801,534801,32480.0729367165,36869.3930099793,1.34970788089564,103.873574849884
KOVAN MRT STATION (NE13),900,UPPER SERANGOON ROAD,KOVAN MRT STATION (NE13),900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799,534799,33758.7578018578,38027.2794417515,1.36017917065237,103.885064856353
HOUGANG MRT STATION (NE14),80,HOUGANG CENTRAL,HOUGANG MRT STATION (NE14),80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758,538758,34572.8752453458,39256.1282835789,1.37129226620797,103.892380513029
BUANGKOK MRT STATION (NE15),10,SENGKANG CENTRAL,BUANGKOK MRT STATION (NE15),10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061,545061,34655.4250568021,40536.3401684985,1.38287001971672,103.893122569706
SENGKANG MRT STATION (NE16),5,SENGKANG SQUARE,SENGKANG MRT STATION (NE16),5 SENGKANG SQUARE SENGKANG MRT STATION (NE16) SINGAPORE 545062,545062,34918.2740132138,41512.1276907362,1.39169462601522,103.895484694279
PUNGGOL MRT STATION (NE17),70,PUNGGOL CENTRAL,PUNGGOL MRT STATION (NE17),70 PUNGGOL CENTRAL PUNGGOL MRT STATION (NE17) SINGAPORE 828868,828868,35651.382800173,42933.2482692804,1.40454653668991,103.902072622229
PUNGGOL COAST MRT STATION (NE18),101,NEW PUNGGOL ROAD,PUNGGOL COAST MRT STATION (NE18),101 NEW PUNGGOL ROAD PUNGGOL COAST MRT STATION (NE18) SINGAPORE 828604,828604,36552.0706724664,44081.1334630698,1.41492733388605,103.910166388177
BUKIT BATOK MRT STATION (NS2),10,BUKIT BATOK CENTRAL,BUKIT BATOK MRT STATION (NS2),10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,659958,18679.3223191258,36794.9260214306,1.34903331201636,103.749566478309
BUKIT GOMBAK MRT STATION (NS3),802,BUKIT BATOK WEST AVENUE 5,BUKIT GOMBAK MRT STATION (NS3),802 BUKIT BATOK WEST AVENUE 5 BUKIT GOMBAK MRT STATION (NS3) SINGAPORE 659083,659083,18926.9127006577,37854.0358848721,1.35861159094192,103.751790910733
CHOA CHU KANG MRT STATION (NS4),10,CHOA CHU KANG AVENUE 4,CHOA CHU KANG MRT STATION (NS4),10 CHOA CHU KANG AVENUE 4 CHOA CHU KANG MRT STATION (NS4) SINGAPORE 689810,689810,18101.2472041463,40812.1216052417,1.38536316540225,103.744370779756
YEW TEE MRT STATION (NS5),61,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715,18438.9831173802,42158.0181021616,1.39753506936297,103.747405150236
KRANJI MRT STATION (NS7),960,WOODLANDS ROAD,KRANJI MRT STATION (NS7),960 WOODLANDS ROAD KRANJI MRT STATION (NS7) SINGAPORE 738702,738702,20078.5865077013,45204.5168451127,1.42508698073648,103.762137459497
MARSILING MRT STATION (NS8),71,WOODLANDS AVENUE 3,MARSILING MRT STATION (NS8),71 WOODLANDS AVENUE 3 MARSILING MRT STATION (NS8) SINGAPORE 739044,739044,21407.0413211482,46026.5125302058,1.43252114855026,103.774074641403
WOODLANDS MRT STATION (NS9),30,WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343,22741.5981903812,46501.7861009166,1.43681962961519,103.786066799253
ADMIRALTY MRT STATION (NS10),70,WOODLANDS AVENUE 7,ADMIRALTY MRT STATION (NS10),70 WOODLANDS AVENUE 7 ADMIRALTY MRT STATION (NS10) SINGAPORE 738344,738344,24402.3866267931,46918.506801948,1.44058856161847,103.800990519771
SEMBAWANG MRT STATION (NS11),11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775,26522.9882623879,47854.1998395547,1.44905082158502,103.820046140211
CANBERRA MRT STATION (NS12),11,CANBERRA LINK,CANBERRA MRT STATION (NS12),11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972,756972,27597.5969376964,47193.6008830499,1.44307664075699,103.829702590959
YISHUN MRT STATION (NS13),301,YISHUN AVENUE 2,YISHUN MRT STATION (NS13),301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,769093,28187.6788169928,45686.0705381557,1.42944308477331,103.835005047246
KHATIB MRT STATION (NS14),201,YISHUN AVENUE 2,KHATIB MRT STATION (NS14),201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092,769092,27962.3108561579,44352.5679935999,1.41738337009565,103.832979908243
YIO CHU KANG MRT STATION (NS15),3000,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813,569813,29294.1262330338,40413.0626359228,1.38175587099132,103.84494727118
ANG MO KIO MRT STATION (NS16),2795,ANG MO KIO AVENUE 8,ANG MO KIO MRT STATION (NS16),2795 ANG MO KIO AVENUE 8 ANG MO KIO MRT STATION (NS16) SINGAPORE 569812,569812,29807.2611468043,39105.7359950263,1.36993284962262,103.84955809232
BISHAN MRT STATION (NS17),200,BISHAN ROAD,BISHAN MRT STATION (NS17),200 BISHAN ROAD BISHAN MRT STATION (NS17) SINGAPORE 579827,579827,29649.8988074977,36994.4330169763,1.35083898784737,103.848143964542
BRADDELL MRT STATION (NS18),377,LORONG 1 TOA PAYOH,BRADDELL MRT STATION (NS18),377 LORONG 1 TOA PAYOH BRADDELL MRT STATION (NS18) SINGAPORE 319756,319756,29500.2349482412,35847.7719815206,1.3404690010277,103.846799083148
TOA PAYOH MRT STATION (NS19),510,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398,319398,29578.4890669128,34980.8962922301,1.33262928096888,103.847502198048
NOVENA MRT STATION (NS20),250,THOMSON ROAD,NOVENA MRT STATION (NS20),250 THOMSON ROAD NOVENA MRT STATION (NS20) SINGAPORE 307642,307642,29169.3297925005,33633.1535391063,1.32044079120154,103.843825618748
NEWTON MRT STATION (NS21),49,SCOTTS ROAD,NEWTON MRT STATION (NS21),49 SCOTTS ROAD NEWTON MRT STATION (NS21) SINGAPORE 228234,228234,28519.2830723543,32735.0770371091,1.3123189224097,103.837984594021
ORCHARD MRT STATION (NS22),437,ORCHARD ROAD,ORCHARD MRT STATION (NS22),437 ORCHARD ROAD ORCHARD MRT STATION (NS22) SINGAPORE 238878,238878,27880.5476490632,31813.0165782962,1.30398013681715,103.832245244375
SOMERSET MRT STATION (NS23),1,SOMERSET ROAD,SOMERSET MRT STATION (NS23),1 SOMERSET ROAD SOMERSET MRT STATION (NS23) SINGAPORE 238162,238162,28641.8346576076,31402.1245223526,1.30026416739006,103.839085753124
DHOBY GHAUT MRT STATION (NS24),11,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),11 ORCHARD ROAD DHOBY GHAUT MRT STATION (NS24) SINGAPORE 238826,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951
MARINA BAY MRT STATION (NS27),21,PARK STREET,MARINA BAY MRT STATION (NS27),21 PARK STREET MARINA BAY MRT STATION (NS27) SINGAPORE 018925,018925,30367.9547207942,28764.4959340338,1.276410298755,103.854595522263
MARINA SOUTH PIER MRT STATION (NS28),33,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION (NS28) SINGAPORE 018948,018948,31241.8260070179,28169.2510934137,1.27102703612006,103.862447515736
DHOBY GHAUT MRT STATION (CC1),13,ORCHARD ROAD,DHOBY GHAUT MRT STATION (CC1),13 ORCHARD ROAD DHOBY GHAUT MRT STATION (CC1) SINGAPORE 238893,238893,29443.8824096406,31252.5723822247,1.29891164362677,103.84629250696
BRAS BASAH MRT STATION (CC2),65,BRAS BASAH ROAD,BRAS BASAH MRT STATION (CC2),65 BRAS BASAH ROAD BRAS BASAH MRT STATION (CC2) SINGAPORE 189561,189561,29930.7673842637,31025.9015965667,1.29686168649656,103.850667371637
ESPLANADE MRT STATION (CC3),90,BRAS BASAH ROAD,ESPLANADE MRT STATION (CC3),90 BRAS BASAH ROAD ESPLANADE MRT STATION (CC3) SINGAPORE 189562,189562,30421.9934839159,30671.6277715843,1.2936577245386,103.855081226245
PROMENADE MRT STATION (CC4),2,TEMASEK AVENUE,PROMENADE MRT STATION (CC4),2 TEMASEK AVENUE PROMENADE MRT STATION (CC4) SINGAPORE 039193,039193,31008.3618750935,30709.2578067128,1.29399798636232,103.860350000188
NICOLL HIGHWAY MRT STATION (CC5),20,REPUBLIC AVENUE,NICOLL HIGHWAY MRT STATION (CC5),20 REPUBLIC AVENUE NICOLL HIGHWAY MRT STATION (CC5) SINGAPORE 038970,038970,31374.1649264134,31347.1528697051,1.29976684675139,103.86363696572
STADIUM MRT STATION (CC6),3,STADIUM WALK,STADIUM MRT STATION (CC6),3 STADIUM WALK STADIUM MRT STATION (CC6) SINGAPORE 397692,397692,32676.3477050858,31683.9407594204,1.3028124684707,103.875337711089
MOUNTBATTEN MRT STATION (CC7),301,MOUNTBATTEN ROAD,MOUNTBATTEN MRT STATION (CC7),301 MOUNTBATTEN ROAD MOUNTBATTEN MRT STATION (CC7) SINGAPORE 398006,398006,33476.563426869,32058.7418466732,1.30620190525331,103.882528081052
DAKOTA MRT STATION (CC8),201,OLD AIRPORT ROAD,DAKOTA MRT STATION (CC8),201 OLD AIRPORT ROAD DAKOTA MRT STATION (CC8) SINGAPORE 397973,397973,34204.0252977135,32318.1744557619,1.30854798388121,103.889064718377
PAYA LEBAR MRT STATION (CC9),15,PAYA LEBAR ROAD,PAYA LEBAR MRT STATION (CC9),15 PAYA LEBAR ROAD PAYA LEBAR MRT STATION (CC9) SINGAPORE 409049,409049,34559.6916920897,33280.1181892157,1.3172473854035,103.892260753884
MACPHERSON MRT STATION (CC10),171,PAYA LEBAR ROAD,MACPHERSON MRT STATION (CC10),171 PAYA LEBAR ROAD MACPHERSON MRT STATION (CC10) SINGAPORE 409048,409048,34351.6177675035,34256.5138255134,1.32607760171665,103.890391305725
TAI SENG MRT STATION (CC11),33,UPPER PAYA LEBAR ROAD,TAI SENG MRT STATION (CC11),33 UPPER PAYA LEBAR ROAD TAI SENG MRT STATION (CC11) SINGAPORE 534803,534803,34128.792347569,35258.74881576,1.33514150139202,103.888389300191
BARTLEY MRT STATION (CC12),90,BARTLEY ROAD,BARTLEY MRT STATION (CC12),90 BARTLEY ROAD BARTLEY MRT STATION (CC12) SINGAPORE 539788,539788,33214.9339675205,36072.5255325548,1.34250117805245,103.880177899184
SERANGOON MRT STATION (CC13),21,SERANGOON CENTRAL,SERANGOON MRT STATION (CC13),21 SERANGOON CENTRAL SERANGOON MRT STATION (CC13) SINGAPORE 556082,556082,32390.6852547908,36971.7545485683,1.35063361526525,103.872771660431
LORONG CHUAN MRT STATION (CC14),150,SERANGOON AVENUE 3,LORONG CHUAN MRT STATION (CC14),150 SERANGOON AVENUE 3 LORONG CHUAN MRT STATION (CC14) SINGAPORE 554533,554533,31431.4054671209,37079.9443690311,1.35161217074555,103.864151938651
BISHAN MRT STATION (CC15),17,BISHAN PLACE,BISHAN MRT STATION (CC15),17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842,579842,29760.7755471431,37047.1573323701,1.35131580146658,103.84914026532
MARYMOUNT MRT STATION (CC16),60,MARYMOUNT ROAD,MARYMOUNT MRT STATION (CC16),60 MARYMOUNT ROAD MARYMOUNT MRT STATION (CC16) SINGAPORE 573993,573993,28679.3687734958,36758.7136478554,1.348707263451,103.839423132332
CALDECOTT MRT STATION (CC17),38,TOA PAYOH RISE,CALDECOTT MRT STATION (CC17),38 TOA PAYOH RISE CALDECOTT MRT STATION (CC17) SINGAPORE 298113,298113,28691.3524736091,35538.642612109,1.33767337407828,103.839530785576
BOTANIC GARDENS MRT STATION (CC19),100,CLUNY PARK ROAD,BOTANIC GARDENS MRT STATION (CC19),100 CLUNY PARK ROAD BOTANIC GARDENS MRT STATION (CC19) SINGAPORE 257494,257494,25959.6005048994,33818.1442215387,1.32211373558877,103.814984510627
FARRER ROAD MRT STATION (CC20),71,FARRER ROAD,FARRER ROAD MRT STATION (CC20),71 FARRER ROAD FARRER ROAD MRT STATION (CC20) SINGAPORE 268857,268857,25113.2011973979,33301.2602245007,1.31743915158967,103.807379214161
HOLLAND VILLAGE MRT STATION (CC21),200,HOLLAND AVENUE,HOLLAND VILLAGE MRT STATION (CC21),200 HOLLAND AVENUE HOLLAND VILLAGE MRT STATION (CC21) SINGAPORE 278995,278995,23891.2152273953,32726.4128267691,1.31224029631595,103.796399122407
BUONA VISTA MRT STATION (CC22),150,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION (CC22),150 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION (CC22) SINGAPORE 139350,139350,23257.9930265341,32106.5630513821,1.30663450405,103.790709404436
ONE-NORTH MRT STATION (CC23),9,AYER RAJAH AVENUE,ONE-NORTH MRT STATION (CC23),9 AYER RAJAH AVENUE ONE-NORTH MRT STATION (CC23) SINGAPORE 138647,138647,22896.0728127016,31346.4080956969,1.29975987493555,103.78745750525
KENT RIDGE MRT STATION (CC24),301,SOUTH BUONA VISTA ROAD,KENT RIDGE MRT STATION (CC24),301 SOUTH BUONA VISTA ROAD KENT RIDGE MRT STATION (CC24) SINGAPORE 118177,118177,22575.0107144611,30657.9332947638,1.29353349887123,103.784572738173
HAW PAR VILLA MRT STATION (CC25),270,PASIR PANJANG ROAD,HAW PAR VILLA MRT STATION (CC25),270 PASIR PANJANG ROAD HAW PAR VILLA MRT STATION (CC25) SINGAPORE 117396,117396,22261.1431040755,29445.802035436,1.28257135772488,103.781752725064
PASIR PANJANG MRT STATION (CC26),119,PASIR PANJANG ROAD,PASIR PANJANG MRT STATION (CC26),119 PASIR PANJANG ROAD PASIR PANJANG MRT STATION (CC26) SINGAPORE 117424,117424,23329.2647148455,28742.7657615561,1.27621352233766,103.791350313288
LABRADOR PARK MRT STATION (CC27),701,TELOK BLANGAH ROAD,LABRADOR PARK MRT STATION (CC27),701 TELOK BLANGAH ROAD LABRADOR PARK MRT STATION (CC27) SINGAPORE 109029,109029,24584.7750495933,28304.9440988898,1.27225417749656,103.802631578766
TELOK BLANGAH MRT STATION (CC28),463,TELOK BLANGAH ROAD,TELOK BLANGAH MRT STATION (CC28),463 TELOK BLANGAH ROAD TELOK BLANGAH MRT STATION (CC28) SINGAPORE 109028,109028,25378.2908018399,28133.7990515903,1.27070647717762,103.809761611219
BAYFRONT MRT STATION (DT16 / CE1),11,BAYFRONT AVENUE,BAYFRONT MRT STATION (DT16 / CE1),11 BAYFRONT AVENUE BAYFRONT MRT STATION (DT16 / CE1) SINGAPORE 018957,018957,30867.0092712184,29368.6250332333,1.28187378879209,103.859079764874
MARINA BAY MRT STATION (CE2),23,PARK STREET,MARINA BAY MRT STATION (CE2),23 PARK STREET MARINA BAY MRT STATION (CE2) SINGAPORE 018926,018926,30462.7349769669,28746.9336326458,1.27625146423743,103.855447156279
